# PVGIS hourly irradiance reference data for validating DiGi.Solar irradiance calculations.
#
# Source:   European Commission Joint Research Centre, Photovoltaic Geographical Information System
#           (PVGIS) v5.2, https://re.jrc.ec.europa.eu/pvg_tools/en/
# API:      https://re.jrc.ec.europa.eu/api/v5_2/seriescalc
# Retrieved: 2026-09-10
# Database: PVGIS-SARAH2
# Location: Poznan, Poland - latitude 52.4064, longitude 16.9252, elevation 81 m
# Period:   2020, the 5th and 20th of each month, daylight hours with GHI >= 50 W/m2
# Planes:   horizontal (slope 0), and slope 35 deg azimuth 0 (south facing)
# Timestamps are UTC. PVGIS uses :11 past the hour as the satellite observation time.
# Irradiance values are W/m2 and are reported by PVGIS rounded to whole numbers.
#
# PVGIS computes the ground-reflected component with the same isotropic formula as DiGi.Solar
# (GHI * albedo * (1 - cos(tilt)) / 2, albedo 0.2), so those columns must agree closely.
# It computes the sky diffuse component with an anisotropic model (Muneer), so that column is
# expected to exceed the isotropic value - it is compared as a reported difference, not a bound.
#
# time,sunElevationDegrees,beamHorizontal,diffuseHorizontal,beamTilted35,diffuseTilted35,groundTilted35
20200920:1011,38.28,405.0,184.0,620.8,232.7,10.7
20200920:1111,38.49,384.0,199.0,588.7,248.1,10.5
20200920:1211,35.73,252.0,240.0,385.8,275.9,8.9
20200920:1311,30.45,279.0,173.0,425.7,209.3,8.2
20200920:1411,23.35,313.0,71.0,474.3,93.7,6.9
20200920:1511,15.06,149.0,72.0,221.9,86.8,4.0
20201005:0711,17.94,48.0,135.0,87.0,138.9,3.3
20201005:0811,24.82,75.0,193.0,130.9,200.2,4.8
20201005:0911,29.90,347.0,120.0,595.8,165.1,8.4
20201005:1011,32.61,387.0,125.0,660.0,172.9,9.3
20201005:1111,32.57,334.0,157.0,569.7,207.9,8.9
20201005:1211,29.77,6.0,190.0,10.3,174.3,3.5
20201005:1411,17.69,0.0,54.0,0.0,49.1,1.0
20201005:1511,9.56,3.0,54.0,6.1,50.0,1.0
20201020:0711,13.49,30.0,100.0,68.5,105.1,2.4
20201020:0811,20.00,48.0,157.0,98.6,163.4,3.7
20201020:0911,24.69,102.0,193.0,200.5,216.5,5.3
20201020:1011,27.09,33.0,213.0,63.8,206.7,4.5
20201020:1111,26.89,91.0,216.0,176.1,233.3,5.5
20201020:1211,24.13,72.0,194.0,142.1,206.4,4.8
20201020:1311,19.14,53.0,150.0,110.0,159.4,3.7
20201020:1411,12.41,0.0,52.0,0.0,47.3,0.9
20201105:0711,8.89,61.0,51.0,195.3,81.5,2.0
20201105:0811,15.11,59.0,114.0,149.6,136.5,3.1
20201105:0911,19.53,64.0,155.0,148.6,174.2,4.0
20201105:1011,21.76,97.0,170.0,218.0,201.9,4.8
20201105:1111,21.54,172.0,137.0,387.6,192.7,5.6
20201105:1211,18.92,61.0,150.0,143.1,168.5,3.8
20201105:1311,14.15,35.0,109.0,91.0,119.7,2.6
20201105:1411,7.68,29.0,51.0,100.3,67.8,1.4
20201120:0811,11.15,23.0,84.0,73.6,93.8,1.9
20201120:0911,15.48,18.0,119.0,49.5,119.6,2.5
20201120:1011,17.69,2.0,109.0,5.2,100.0,2.0
20201120:1111,17.59,30.0,142.0,78.3,147.7,3.1
20201120:1211,15.17,96.0,107.0,266.2,153.4,3.7
20201120:1311,10.67,28.0,81.0,91.6,95.6,2.0
20201205:1211,12.83,5.0,85.0,15.9,80.5,1.6
20201205:1311,8.61,3.0,53.0,11.8,50.6,1.0
20201220:0811,6.62,48.0,36.0,230.7,75.5,1.5
20201220:0911,11.14,110.0,54.0,384.8,108.2,3.0
20201220:1011,13.69,144.0,66.0,452.7,127.0,3.8
20201220:1111,14.03,149.0,67.0,462.9,128.6,3.9
20201220:1211,12.13,122.0,60.0,407.9,117.7,3.3
20201220:1311,8.17,80.0,37.0,335.6,84.0,2.1
